
total_score,Grid_score,Transform_accept_ratio,angle_constraint,atom_pair_constraint,chainbreak,coordinate_constraint,dihedral_constraint,dslf_ca_dih,dslf_cs_ang,dslf_ss_dih,dslf_ss_dst,fa_atr,fa_dun,fa_elec,fa_pair,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,if_X_angle_constraint,if_X_atom_pair_constraint,if_X_chainbreak,if_X_coordinate_constraint,if_X_dihedral_constraint,if_X_dslf_ca_dih,if_X_dslf_cs_ang,if_X_dslf_ss_dih,if_X_dslf_ss_dst,if_X_fa_atr,if_X_fa_dun,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_lr_bb,if_X_hbond_sc,if_X_hbond_sr_bb,if_X_omega,if_X_p_aa_pp,if_X_pro_close,if_X_ref,if_X_res_type_constraint,interface_delta_X,ligand_is_touching_X,omega,p_aa_pp,pro_close,ref,res_type_constraint,total_score_X,vdw_grid_X,description
-1739.171,-15.0,0.906,0.0,0.0,0.0,1.241,0.0,0.0,0.0,0.0,0.0,-1705.043,201.691,-58.043,-51.33,239.854,790.352,-97.43,-162.896,-86.535,-410.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.879,0.0,-0.431,0.0,0.975,4.236,-0.38,0.0,-5.489,0.0,0.0,0.0,0.0,0.0,0.0,-7.968,1.0,61.5,-54.513,5.485,-0.872,-412.0,-14.0,-14.0,MAL_relax_MOL_0001
-1699.409,-15.0,0.872,0.0,0.0,0.0,2.498,0.0,0.0,0.0,0.0,0.0,-1707.829,203.269,-58.34,-49.917,273.84,792.176,-101.26,-161.492,-80.921,-413.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.153,0.0,-0.242,0.688,0.319,3.221,-0.085,0.0,-2.374,0.0,0.0,0.0,0.0,0.0,0.0,-3.628,1.0,63.79,-56.114,4.189,3.499,-413.0,-15.0,-15.0,MAL_relax_MOL_0001
-1708.185,-15.0,0.876,0.0,0.0,0.0,0.912,0.0,0.0,0.0,0.0,0.0,-1705.767,201.572,-57.637,-49.381,267.058,790.609,-100.105,-163.868,-82.121,-412.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.694,0.0,0.035,0.701,0.339,3.658,-0.203,0.0,-2.415,0.0,0.0,0.0,0.0,0.0,0.0,-3.58,1.0,65.049,-55.46,5.905,-0.872,-412.0,-15.0,-15.0,MAL_relax_MOL_0001
-1756.798,-15.0,0.878,0.0,0.0,0.0,1.657,0.0,0.0,0.0,0.0,0.0,-1705.746,201.38,-57.787,-50.953,220.069,788.571,-98.526,-161.668,-84.638,-411.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.435,0.0,-0.298,0.657,0.18,2.533,-0.062,0.0,-5.564,0.0,0.0,0.0,0.0,0.0,0.0,-7.99,1.0,62.34,-56.639,6.394,3.499,-413.0,-15.0,-15.0,MAL_relax_MOL_0001
-1774.261,-15.0,0.856,0.0,0.0,0.0,2.177,0.0,0.0,0.0,0.0,0.0,-1706.819,200.498,-58.349,-49.667,210.053,791.393,-101.304,-163.032,-85.845,-411.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.594,0.0,-0.456,0.644,0.261,3.391,-2.408,0.0,-3.174,0.0,0.0,0.0,0.0,0.0,0.0,-8.335,1.0,61.165,-55.145,5.232,-0.872,-412.0,-15.0,-15.0,MAL_relax_MOL_0001
-1759.384,-15.0,0.844,0.0,0.0,0.0,2.712,0.0,0.0,0.0,0.0,0.0,-1704.985,202.11,-57.946,-51.814,215.152,790.652,-99.213,-160.169,-84.896,-410.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.275,0.0,-0.863,0.0,1.007,4.669,-2.893,0.0,-6.175,0.0,0.0,0.0,0.0,0.0,0.0,-10.53,1.0,60.698,-54.347,5.952,-0.872,-412.0,-14.0,-14.0,MAL_relax_MOL_0001
-1761.855,-15.0,0.846,0.0,0.0,0.0,1.938,0.0,0.0,0.0,0.0,0.0,-1706.36,200.905,-57.04,-50.771,213.931,789.581,-98.573,-163.517,-81.012,-411.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.388,0.0,-0.053,0.0,0.757,4.386,-2.004,0.0,-2.81,0.0,0.0,0.0,0.0,0.0,0.0,-7.113,1.0,63.406,-55.663,5.764,-0.872,-412.0,-15.0,-15.0,MAL_relax_MOL_0001
-1766.774,-15.0,0.886,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,-1705.912,201.775,-57.271,-51.214,212.739,790.712,-100.606,-162.211,-84.642,-410.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.077,0.0,-0.065,0.0,0.432,3.524,-0.651,0.0,-2.859,0.0,0.0,0.0,0.0,0.0,0.0,-5.695,1.0,59.738,-54.609,5.594,-0.872,-412.0,-15.0,-15.0,MAL_relax_MOL_0001
-1752.003,-13.0,0.852,0.0,0.0,0.0,2.114,0.0,0.0,0.0,0.0,0.0,-1698.694,201.341,-56.858,-50.955,212.048,785.783,-97.319,-161.894,-79.585,-411.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.403,0.0,-0.114,0.0,0.413,3.413,-2.453,0.0,-3.021,0.0,0.0,0.0,0.0,0.0,0.0,-8.165,1.0,61.585,-53.549,5.818,0.658,-411.0,-14.0,-14.0,MAL_relax_MOL_0001
-1708.827,-15.0,0.854,0.0,0.0,0.0,2.733,0.0,0.0,0.0,0.0,0.0,-1703.761,200.336,-57.827,-51.38,269.574,788.709,-100.091,-161.075,-84.103,-413.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.65,0.0,-0.159,0.0,0.357,2.675,-0.089,0.0,-2.919,0.0,0.0,0.0,0.0,0.0,0.0,-5.784,1.0,61.976,-54.27,7.043,-0.872,-412.0,-15.0,-15.0,MAL_relax_MOL_0001
